player,runs,bb_bf_batting,4s_batting,6s_batting,sr_batting,not_out,mins_batting,wkts,bb_bf_bowling,mdns,econ,4s_bowling,6s_bowling,sr_bowling,mins_bowling,total_runs
LH Ferguson (NZ),7.0,8.0,0.0,1.0,110.0,0.0,7.0,10.0,324.0,3.0,6.251428571428571,0.0,0.0,,,17.0
HH Pandya (IND),11.0,8.0,0.0,1.0,137.5,1.0,17.0,5.0,99.0,0.0,9.282499999999999,0.0,0.0,,,16.0
DN Wellalage (SL),12.0,18.0,1.0,0.0,49.07333333333333,0.0,9.666666666666666,2.0,176.0,0.0,6.656666666666666,0.0,0.0,,,14.0
Saqib Zulfiqar (NED),13.0,33.0,1.0,0.0,37.775,0.0,21.5,1.0,30.0,0.0,7.915,0.0,0.0,,,14.0
Tanzim Hasan Sakib (BAN),5.0,6.0,1.0,0.0,83.33,1.0,6.0,3.0,60.0,0.0,8.0,0.0,0.0,,,8.0
R Klein (NED),8.0,15.0,0.0,0.0,53.33,0.0,23.0,0.0,42.0,1.0,5.85,0.0,0.0,,,8.0
M Pathirana (SL),6.0,19.0,1.0,0.0,32.29,1.0,14.0,2.0,114.0,0.0,9.75,0.0,0.0,,,8.0
PVD Chameera (SL),6.0,39.0,0.0,0.0,18.61,0.0,16.0,2.0,188.0,3.0,6.0775,0.0,0.0,,,8.0
Fazalhaq Farooqi (AFG),2.0,6.0,0.0,0.0,25.0,1.0,4.0,6.0,240.0,2.0,5.906666666666666,0.0,0.0,,,8.0
C Karunaratne (SL),8.0,28.0,1.0,0.0,26.735,0.0,20.0,0.0,72.0,1.0,5.720000000000001,0.0,0.0,,,8.0
CBRLS Kumara (SL),4.0,8.0,1.0,0.0,50.0,0.0,6.0,3.0,66.0,0.0,8.375,0.0,0.0,,,7.0
Shariz Ahmad (NED),6.0,8.0,0.0,0.0,75.0,0.0,13.0,0.0,12.0,0.0,6.5,0.0,0.0,,,6.0
Usama Mir (PAK),0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,210.0,0.0,7.05,0.0,0.0,,,4.0
MADI Hemantha (SL),4.0,4.0,1.0,0.0,66.665,1.0,4.0,0.0,96.0,0.0,5.875,0.0,0.0,,,4.0
AT Carey (AUS),0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
AT Nidamanuru (NED),164.0,167.0,11.0,10.0,87.05285714285715,1.0,36.714285714285715,,,,,,,,,
Abdullah Shafique (PAK),336.0,360.0,36.0,9.0,71.4,0.0,62.0,,,,,,,,,
BA Stokes (ENG),304.0,341.0,26.0,11.0,71.93333333333334,0.0,80.16666666666667,,,,,,,,,
BKG Mendis (SL),294.0,258.0,27.0,15.0,89.11333333333333,0.0,46.111111111111114,,,,,,,,,
Babar Azam (PAK),320.0,386.0,32.0,4.0,79.11111111111111,1.0,60.55555555555556,,,,,,,,,
DA Miller (SA),356.0,330.0,25.0,20.0,123.346,2.0,47.8,,,,,,,,,
DA Warner (AUS),528.0,491.0,49.0,24.0,108.199,0.0,75.8,,,,,,,,,
DJ Malan (ENG),404.0,400.0,50.0,9.0,89.67,0.0,60.22222222222222,,,,,,,,,
DP Conway (NZ),372.0,366.0,54.0,4.0,87.45599999999999,1.0,50.8,,,,,,,,,
FDM Karunaratne (SL),15.0,22.0,1.0,0.0,35.71,0.0,17.5,,,,,,,,,
Fakhar Zaman (PAK),220.0,179.0,14.0,18.0,89.0275,1.0,64.0,,,,,,,,,
H Klaasen (SA),373.0,280.0,28.0,19.0,123.19500000000001,1.0,44.7,,,,,,,,,
HC Brook (ENG),169.0,150.0,20.0,5.0,118.49833333333333,0.0,40.333333333333336,,,,,,,,,
HE van der Dussen (SA),448.0,530.0,39.0,8.0,66.114,1.0,79.4,,,,,,,,,
Hashmatullah Shahidi (AFG),310.0,424.0,25.0,2.0,62.919999999999995,3.0,65.66666666666667,,,,,,,,,
Ibrahim Zadran (AFG),376.0,493.0,39.0,5.0,73.62888888888888,1.0,78.22222222222223,,,,,,,,,
Ikram Alikhil (AFG),89.0,101.0,7.0,3.0,88.01666666666667,1.0,50.0,,,,,,,,,
Imam-ul-Haq (PAK),162.0,180.0,23.0,0.0,86.03166666666668,0.0,50.833333333333336,,,,,,,,,
Ishan Kishan (IND),47.0,48.0,5.0,2.0,50.0,0.0,40.5,,,,,,,,,
JC Buttler (ENG),138.0,142.0,11.0,5.0,105.91000000000001,0.0,21.555555555555557,,,,,,,,,
JM Bairstow (ENG),215.0,243.0,27.0,3.0,73.14666666666666,0.0,42.55555555555556,,,,,,,,,
JP Inglis (AUS),159.0,168.0,17.0,3.0,90.90625,0.0,27.75,,,,,,,,,
KL Rahul (IND),386.0,391.0,37.0,9.0,100.68555555555557,4.0,63.0,,,,,,,,,
KS Williamson (NZ),256.0,274.0,28.0,4.0,95.2475,1.0,102.75,,,,,,,,,
Litton Das (BAN),284.0,354.0,32.0,5.0,66.41111111111111,0.0,62.55555555555556,,,,,,,,,
M Labuschagne (AUS),304.0,402.0,27.0,2.0,72.89666666666668,0.0,66.0,,,,,,,,,
MDKJ Perera (SL),149.0,147.0,25.0,2.0,78.05999999999999,0.0,35.42857142857143,,,,,,,,,
MP O'Dowd (NED),138.0,200.0,22.0,2.0,57.00555555555555,0.0,35.22222222222222,,,,,,,,,
MS Chapman (NZ),84.0,71.0,10.0,1.0,103.815,1.0,16.166666666666668,,,,,,,,,
Mohammad Rizwan (PAK),395.0,414.0,38.0,5.0,96.765,2.0,77.25,,,,,,,,,
Mushfiqur Rahim (BAN),202.0,255.0,14.0,4.0,67.87888888888888,1.0,39.0,,,,,,,,,
Najibullah Zadran (AFG),7.0,21.0,0.0,0.0,31.73,0.0,11.0,,,,,,,,,
P Nissanka (SL),332.0,371.0,44.0,3.0,65.19888888888889,1.0,57.888888888888886,,,,,,,,,
Q de Kock (SA),594.0,555.0,57.0,21.0,106.53900000000002,0.0,79.9,,,,,,,,,
RR Hendricks (SA),97.0,94.0,10.0,3.0,88.24,0.0,67.5,,,,,,,,,
Rahmanullah Gurbaz (AFG),280.0,283.0,31.0,9.0,83.85555555555555,0.0,54.22222222222222,,,,,,,,,
S Samarawickrama (SL),373.0,365.0,36.0,4.0,87.26777777777778,2.0,58.77777777777778,,,,,,,,,
SA Edwards (NED),259.0,298.0,22.0,3.0,66.91333333333334,2.0,48.111111111111114,,,,,,,,,
SA Engelbrecht (NED),300.0,450.0,25.0,3.0,65.3475,0.0,68.625,,,,,,,,,
SA Yadav(IND),1.0,2.0,0.0,0.0,50.0,0.0,2.0,,,,,,,,,
SPD Smith (AUS),298.0,364.0,29.0,2.0,78.11222222222221,1.0,60.666666666666664,,,,,,,,,
SS Iyer (IND),526.0,465.0,36.0,24.0,93.005,3.0,64.8,,,,,,,,,
Saud Shakeel (PAK),241.0,246.0,30.0,1.0,91.82142857142857,0.0,51.142857142857146,,,,,,,,,
T Bavuma (SA),145.0,197.0,18.0,3.0,75.58500000000001,0.0,38.375,,,,,,,,,
TWM Latham (NZ),155.0,170.0,12.0,3.0,75.07875,2.0,32.125,,,,,,,,,
Tanzid Hasan (BAN),145.0,152.0,22.0,3.0,83.48666666666666,0.0,29.555555555555557,,,,,,,,,
Towhid Hridoy (BAN),164.0,210.0,7.0,5.0,117.15333333333332,1.0,51.0,,,,,,,,,
W Barresi (NED),83.0,112.0,11.0,1.0,66.1675,0.0,34.25,,,,,,,,,
WA Young (NZ),206.0,246.0,23.0,6.0,68.415,0.0,57.333333333333336,,,,,,,,,
IS Sodhi (NZ),,,,,,,,0.0,24.0,0.0,11.0,0.0,0.0,,,
LB Williams (SA),,,,,,,,2.0,52.0,1.0,6.46,0.0,0.0,,,
Mohammed Siraj (IND),,,,,,,,13.0,453.0,6.0,5.321,0.0,0.0,,,
R Ashwin (IND),,,,,,,,1.0,60.0,1.0,3.4,0.0,0.0,,,
SA Abbott (AUS),,,,,,,,2.0,60.0,0.0,6.1,0.0,0.0,,,
SN Thakur (IND),,,,,,,,2.0,102.0,0.0,5.903333333333333,0.0,0.0,,,
