,player,ground,runs,wkts
375,LS Livingstone (ENG),Delhi,43,1.0
376,LS Livingstone (ENG),Dharamsala,13,1.0
377,LS Livingstone (ENG),Lucknow,56,0.0
378,LV van Beek (NED),Bengaluru,123,0.0
379,LV van Beek (NED),Delhi,74,4.0
380,LV van Beek (NED),Dharamsala,70,3.0
381,LV van Beek (NED),Eden Gardens,53,1.0
382,LV van Beek (NED),Hyderabad,58,1.0
383,LV van Beek (NED),Lucknow,148,1.0
384,LV van Beek (NED),Pune,90,2.0
385,Litton Das (BAN),Chennai,0,0.0
386,Litton Das (BAN),Delhi,23,0.0
387,Litton Das (BAN),Dharamsala,89,0.0
388,Litton Das (BAN),Eden Gardens,48,0.0
389,Litton Das (BAN),Pune,102,0.0
390,Litton Das (BAN),Wankhede,22,0.0
391,M Jansen (SA),Chennai,63,3.0
392,M Jansen (SA),Delhi,104,2.0
393,M Jansen (SA),Dharamsala,36,2.0
394,M Jansen (SA),Eden Gardens,143,1.0
395,M Jansen (SA),Lucknow,80,2.0
396,M Jansen (SA),Pune,31,3.0
397,M Jansen (SA),Wankhede,150,4.0
398,M Labuschagne (AUS),Ahmedabad,71,0.0
399,M Labuschagne (AUS),Bengaluru,8,0.0
400,M Labuschagne (AUS),Chennai,27,0.0
401,M Labuschagne (AUS),Delhi,62,0.0
402,M Labuschagne (AUS),Dharamsala,18,0.0
403,M Labuschagne (AUS),Eden Gardens,18,0.0
404,M Labuschagne (AUS),Lucknow,86,0.0
405,M Labuschagne (AUS),Wankhede,14,0.0
406,M Pathirana (SL),Delhi,100,1.0
407,M Pathirana (SL),Hyderabad,91,1.0
408,M Theekshana (SL),Bengaluru,102,2.0
409,M Theekshana (SL),Delhi,65,2.0
410,M Theekshana (SL),Hyderabad,59,1.0
411,M Theekshana (SL),Lucknow,93,1.0
412,M Theekshana (SL),Pune,84,0.0
413,M Theekshana (SL),Wankhede,79,0.0
414,MA Starc (AUS),Ahmedabad,76,2.0
415,MA Starc (AUS),Bengaluru,67,1.0
416,MA Starc (AUS),Chennai,59,1.0
417,MA Starc (AUS),Delhi,22,1.0
418,MA Starc (AUS),Dharamsala,90,0.0
419,MA Starc (AUS),Eden Gardens,50,3.0
420,MA Starc (AUS),Lucknow,123,4.0
421,MA Starc (AUS),Wankhede,73,1.0
422,MA Wood (ENG),Ahmedabad,138,2.0
423,MA Wood (ENG),Bengaluru,28,0.0
424,MA Wood (ENG),Delhi,68,2.0
425,MA Wood (ENG),Dharamsala,35,1.0
426,MA Wood (ENG),Lucknow,46,1.0
427,MA Wood (ENG),Wankhede,119,0.0
428,MADI Hemantha (SL),Lucknow,46,0.0
429,MADI Hemantha (SL),Wankhede,52,0.0
430,MD Shanaka (SL),Delhi,104,0.0
431,MD Shanaka (SL),Hyderabad,40,0.0
432,MDKJ Perera (SL),Bengaluru,55,0.0
433,MDKJ Perera (SL),Delhi,11,0.0
434,MDKJ Perera (SL),Hyderabad,0,0.0
435,MDKJ Perera (SL),Lucknow,83,0.0
436,MJ Henry (NZ),Ahmedabad,48,3.0
437,MJ Henry (NZ),Chennai,74,3.0
438,MJ Henry (NZ),Dharamsala,131,2.0
439,MJ Henry (NZ),Hyderabad,50,3.0
440,MJ Henry (NZ),Pune,31,0.0
441,MJ Santner (NZ),Ahmedabad,37,2.0
442,MJ Santner (NZ),Bengaluru,83,2.0
443,MJ Santner (NZ),Chennai,77,4.0
444,MJ Santner (NZ),Dharamsala,135,3.0
445,MJ Santner (NZ),Hyderabad,95,5.0
446,MJ Santner (NZ),Pune,65,0.0
447,MJ Santner (NZ),Wankhede,60,0.0
448,MM Ali (ENG),Ahmedabad,141,0.0
449,MM Ali (ENG),Bengaluru,36,0.0
450,MM Ali (ENG),Eden Gardens,68,2.0
451,MM Ali (ENG),Lucknow,52,0.0
452,MM Ali (ENG),Pune,46,3.0
453,MP O'Dowd (NED),Bengaluru,30,0.0
454,MP O'Dowd (NED),Delhi,6,0.0
455,MP O'Dowd (NED),Dharamsala,18,0.0
456,MP O'Dowd (NED),Eden Gardens,0,0.0
457,MP O'Dowd (NED),Hyderabad,21,0.0
458,MP O'Dowd (NED),Lucknow,58,0.0
459,MP O'Dowd (NED),Pune,5,0.0
460,MP Stoinis (AUS),Ahmedabad,69,1.0
461,MP Stoinis (AUS),Bengaluru,61,2.0
462,MP Stoinis (AUS),Lucknow,47,0.0
463,MP Stoinis (AUS),Pune,45,1.0
464,MP Stoinis (AUS),Wankhede,8,0.0
465,MR Marsh (AUS),Bengaluru,121,0.0
466,MR Marsh (AUS),Chennai,0,0.0
467,MR Marsh (AUS),Delhi,28,2.0
468,MR Marsh (AUS),Dharamsala,54,0.0
469,MR Marsh (AUS),Eden Gardens,0,0.0
470,MR Marsh (AUS),Lucknow,65,0.0
471,MR Marsh (AUS),Pune,225,0.0
472,MR Marsh (AUS),Wankhede,24,0.0
473,MS Chapman (NZ),Bengaluru,46,0.0
474,MS Chapman (NZ),Chennai,25,0.0
475,MS Chapman (NZ),Dharamsala,6,0.0
476,MS Chapman (NZ),Hyderabad,5,0.0
477,MS Chapman (NZ),Wankhede,2,0.0
478,Mahedi Hasan (BAN),Dharamsala,85,4.0
479,Mahedi Hasan (BAN),Eden Gardens,57,2.0
480,Mahedi Hasan (BAN),Pune,40,0.0
481,Mahmudullah (BAN),Chennai,41,0.0
482,Mahmudullah (BAN),Delhi,22,0.0
483,Mahmudullah (BAN),Dharamsala,7,0.0
484,Mahmudullah (BAN),Eden Gardens,76,0.0
485,Mahmudullah (BAN),Pune,84,0.0
486,Mahmudullah (BAN),Wankhede,131,0.0
487,Mehidy Hasan Miraz (BAN),Chennai,88,0.0
488,Mehidy Hasan Miraz (BAN),Delhi,52,1.0
489,Mehidy Hasan Miraz (BAN),Dharamsala,145,3.0
490,Mehidy Hasan Miraz (BAN),Eden Gardens,137,3.0
491,Mehidy Hasan Miraz (BAN),Pune,126,2.0
492,Mehidy Hasan Miraz (BAN),Wankhede,55,1.0
493,Mohammad Nabi (AFG),Ahmedabad,37,2.0
494,Mohammad Nabi (AFG),Chennai,79,1.0
495,Mohammad Nabi (AFG),Delhi,76,2.0
496,Mohammad Nabi (AFG),Dharamsala,24,0.0
497,Mohammad Nabi (AFG),Lucknow,28,3.0
498,Mohammad Nabi (AFG),Pune,33,0.0
499,Mohammad Nabi (AFG),Wankhede,32,0.0
500,Mohammad Nawaz (3) (PAK),Ahmedabad,51,0.0
501,Mohammad Nawaz (3) (PAK),Bengaluru,57,0.0
502,Mohammad Nawaz (3) (PAK),Chennai,64,0.0
503,Mohammad Nawaz (3) (PAK),Hyderabad,132,2.0
504,Mohammad Rizwan (PAK),Ahmedabad,49,0.0
505,Mohammad Rizwan (PAK),Bengaluru,46,0.0
506,Mohammad Rizwan (PAK),Chennai,39,0.0
507,Mohammad Rizwan (PAK),Eden Gardens,62,0.0
508,Mohammad Rizwan (PAK),Hyderabad,199,0.0
509,Mohammad Wasim (1) (PAK),Bengaluru,60,3.0
510,Mohammad Wasim (1) (PAK),Chennai,57,2.0
511,Mohammad Wasim (1) (PAK),Eden Gardens,121,5.0
512,Mohammed Shami (IND),Bengaluru,41,0.0
513,Mohammed Shami (IND),Dharamsala,55,5.0
514,Mohammed Shami (IND),Eden Gardens,18,2.0
515,Mohammed Shami (IND),Lucknow,23,4.0
516,Mohammed Shami (IND),Wankhede,77,12.0
517,Mohammed Siraj (IND),Ahmedabad,50,2.0
518,Mohammed Siraj (IND),Bengaluru,29,2.0
519,Mohammed Siraj (IND),Chennai,26,1.0
520,Mohammed Siraj (IND),Delhi,76,0.0
521,Mohammed Siraj (IND),Dharamsala,45,1.0
522,Mohammed Siraj (IND),Eden Gardens,11,1.0
523,Mohammed Siraj (IND),Lucknow,33,0.0
524,Mohammed Siraj (IND),Pune,60,2.0
525,Mohammed Siraj (IND),Wankhede,94,4.0
526,Mujeeb Ur Rahman (AFG),Ahmedabad,59,1.0
527,Mujeeb Ur Rahman (AFG),Chennai,116,1.0
528,Mujeeb Ur Rahman (AFG),Delhi,153,3.0
529,Mujeeb Ur Rahman (AFG),Dharamsala,31,0.0
530,Mujeeb Ur Rahman (AFG),Lucknow,40,1.0
531,Mujeeb Ur Rahman (AFG),Pune,38,2.0
532,Mujeeb Ur Rahman (AFG),Wankhede,72,0.0
533,Mushfiqur Rahim (BAN),Chennai,66,0.0
534,Mushfiqur Rahim (BAN),Delhi,10,0.0
535,Mushfiqur Rahim (BAN),Dharamsala,53,0.0
